Feature ID,Feature Name,Line Item,Quantity,Rate
87855,User activity and engagement tracking,Front End Dev,0,105
87855,User activity and engagement tracking,Back End Dev,0,105
87855,User activity and engagement tracking,Project Manager,0,105
87855,User activity and engagement tracking,QA,0,105
87855,User activity and engagement tracking,Design,0,105
87855,User activity and engagement tracking,Support,0,105
87860,Content moderation tools for admins and moderators,Front End Dev,0,105
87860,Content moderation tools for admins and moderators,Back End Dev,0,105
87860,Content moderation tools for admins and moderators,Project Manager,0,105
87860,Content moderation tools for admins and moderators,QA,0,105
87860,Content moderation tools for admins and moderators,Design,0,105
87860,Content moderation tools for admins and moderators,Support,0,105
87853,Follow and unfollow other users,Front End Dev,0,105
87853,Follow and unfollow other users,Back End Dev,0,105
87853,Follow and unfollow other users,Project Manager,0,105
87853,Follow and unfollow other users,QA,0,105
87853,Follow and unfollow other users,Design,0,105
87853,Follow and unfollow other users,Support,0,105
87858,Interactive onboarding tutorial for new users,Front End Dev,0,105
87858,Interactive onboarding tutorial for new users,Back End Dev,0,105
87858,Interactive onboarding tutorial for new users,Project Manager,0,105
87858,Interactive onboarding tutorial for new users,QA,0,105
87858,Interactive onboarding tutorial for new users,Design,0,105
87858,Interactive onboarding tutorial for new users,Support,0,105
87848,Sign-up with Google or Social Media Accounts,Front End Dev,0,105
87848,Sign-up with Google or Social Media Accounts,Back End Dev,0,105
87848,Sign-up with Google or Social Media Accounts,Project Manager,0,105
87848,Sign-up with Google or Social Media Accounts,QA,0,105
87848,Sign-up with Google or Social Media Accounts,Design,0,105
87848,Sign-up with Google or Social Media Accounts,Support,0,105
87849,Profile creation and customization,Front End Dev,0,105
87849,Profile creation and customization,Back End Dev,0,105
87849,Profile creation and customization,Project Manager,0,105
87849,Profile creation and customization,QA,0,105
87849,Profile creation and customization,Design,0,105
87849,Profile creation and customization,Support,0,105
87857,Bulk import of recipes from other platforms or files,Front End Dev,0,105
87857,Bulk import of recipes from other platforms or files,Back End Dev,0,105
87857,Bulk import of recipes from other platforms or files,Project Manager,0,105
87857,Bulk import of recipes from other platforms or files,QA,0,105
87857,Bulk import of recipes from other platforms or files,Design,0,105
87857,Bulk import of recipes from other platforms or files,Support,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",Front End Dev,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",Back End Dev,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",Project Manager,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",QA,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",Design,0,105
87851,"Role-based access (e.g., regular users, moderators, admins)",Support,0,105
